---- ROAD FIGHTER SERIALIZED ----
Level: ADVANCED
3
7419
Game Objects:
█ (17, 0) 3
░ (18, 0)
>>> (22, 0)
░ (23, 0)
¢ (33, 0)
¢ (35, 0)
¢ (37, 0)
>>> (38, 0)
░ (41, 0)
¢ (48, 0)
¢ (53, 0)
¢ (58, 0)
¢ (64, 0)
>>> (67, 0)
¢ (70, 0)
← (75, 0)
░ (81, 0)
█ (82, 0) 3
>>> (89, 0)
░ (92, 0)
¢ (93, 0)
░ (94, 0)
░ (12, 1)
☺ (13, 1) up
>>> (16, 1)
░ (17, 1)
>>> (19, 1)
¢ (20, 1)
¢ (24, 1)
¢ (27, 1)
░ (39, 1)
☺ (47, 1) up
░ (48, 1)
¢ (52, 1)
☺ (57, 1) up
>>> (58, 1)
>>> (59, 1)
¢ (61, 1)
¢ (62, 1)
>>> (65, 1)
← (68, 1)
>>> (70, 1)
>>> (74, 1)
█ (78, 1) 3
█ (79, 1) 3
░ (82, 1)
░ (83, 1)
█ (86, 1) 3
>>> (94, 1)
¢ (13, 2)
░ (24, 2)
░ (25, 2)
░ (26, 2)
¢ (28, 2)
░ (30, 2)
>>> (40, 2)
░ (43, 2)
>>> (44, 2)
¢ (47, 2)
░ (49, 2)
¢ (54, 2)
>>> (60, 2)
░ (67, 2)
¢ (69, 2)
¢ (80, 2)
¢ (83, 2)
¢ (84, 2)
¢ (85, 2)
>>> (87, 2)
>>> (88, 2)
░ (90, 2)
>>> (92, 2)
░ (93, 2)
░ (95, 2)

